service_id,date,exception_type
20220522_MTWTF--_1,20230628,1
20220522_MTWTF--_3,20230628,1
20220904_--W----_90,20230628,1
20220904_--WT---_10,20230628,1
20220904_M-W-F--_11,20230628,1
20220904_M-WTF--_21,20230628,1
20220904_MTW-F--_14,20230628,1
20220904_MTWT---_15,20230628,1
20220904_MTWTF--_16,20230628,1
20220904_MTWTF--_16_-vmh_1,20230628,1
20220904_MTWTF--_27,20230628,1
20230224_MTWTF--_45,20230628,1
20230601_--WT---_56,20230628,1
20230610_MTWTF--_62,20230628,1
20230615_M-WT---_66,20230628,1
20220522_MTWTF--_1,20230629,1
20220522_MTWTF--_3,20230629,1
20220904_---T---_9,20230629,1
20220904_--WT---_10,20230629,1
20220904_M-WTF--_21,20230629,1
20220904_MT-TF--_13,20230629,1
20220904_MTWT---_15,20230629,1
20220904_MTWTF--_16,20230629,1
20220904_MTWTF--_16_-vmh_1,20230629,1
20220904_MTWTF--_27,20230629,1
20230224_MTWTF--_45,20230629,1
20230601_--WT---_56,20230629,1
20230608_---T---_22,20230629,1
20230610_MTWTF--_62,20230629,1
20230615_M-WT---_66,20230629,1
20220522_MTWTF--_1,20230630,1
20220522_MTWTF--_3,20230630,1
20220904_----F--_33,20230630,1
20220904_----F--_8,20230630,1
20220904_M-W-F--_11,20230630,1
20220904_M-WTF--_21,20230630,1
20220904_MT--F--_12,20230630,1
20220904_MT-TF--_13,20230630,1
20220904_MTW-F--_14,20230630,1
20220904_MTWTF--_16,20230630,1
20220904_MTWTF--_16_-vmh_1,20230630,1
20220904_MTWTF--_27,20230630,1
20230224_----F--_44,20230630,1
20230224_MTWTF--_45,20230630,1
20230610_MTWTF--_62,20230630,1
20220522_-----S-_5,20230701,1
20220904_-----S-_17,20230701,1
20220904_-----S-_26,20230701,1
20220904_-----S-_7,20230701,1
20230224_-----S-_43,20230701,1
20230224_-----S-_46,20230701,1
20230610_-----S-_61,20230701,1
20220522_------S_4,20230702,1
20220904_------S_18,20230702,1
20220904_------S_18_-vmh_2,20230702,1
20220904_------S_20,20230702,1
20230224_------S_42,20230702,1
20230702_------S_29,20230702,1
20220522_MTWTF--_1,20230703,1
20220522_MTWTF--_3,20230703,1
20220904_M-W-F--_11,20230703,1
20220904_M-WTF--_21,20230703,1
20220904_MT--F--_12,20230703,1
20220904_MT-TF--_13,20230703,1
20220904_MTW-F--_14,20230703,1
20220904_MTWT---_15,20230703,1
20220904_MTWTF--_16,20230703,1
20220904_MTWTF--_16_-vmh_1,20230703,1
20220904_MTWTF--_27,20230703,1
20230224_MTWTF--_45,20230703,1
20230610_MTWTF--_62,20230703,1
20230615_M-WT---_66,20230703,1
20220522_MTWTF--_1,20230704,1
20220522_MTWTF--_3,20230704,1
20220904_MT--F--_12,20230704,1
20220904_MT-TF--_13,20230704,1
20220904_MTW-F--_14,20230704,1
20220904_MTWT---_15,20230704,1
20220904_MTWTF--_16,20230704,1
20220904_MTWTF--_16_-vmh_1,20230704,1
20220904_MTWTF--_27,20230704,1
20230224_MTWTF--_45,20230704,1
20230610_MTWTF--_62,20230704,1
20220522_MTWTF--_1,20230705,1
20220522_MTWTF--_3,20230705,1
20220904_--WT---_10,20230705,1
20220904_M-W-F--_11,20230705,1
20220904_M-WTF--_21,20230705,1
20220904_MTW-F--_14,20230705,1
20220904_MTWT---_15,20230705,1
20220904_MTWTF--_16,20230705,1
20220904_MTWTF--_16_-vmh_1,20230705,1
20220904_MTWTF--_27,20230705,1
20230224_MTWTF--_45,20230705,1
20230601_--WT---_56,20230705,1
20230610_MTWTF--_62,20230705,1
20230615_M-WT---_66,20230705,1
20230702_--W-F--_30,20230705,1
20230705_--W----_89,20230705,1
20220522_MTWTF--_1,20230706,1
20220522_MTWTF--_3,20230706,1
20220904_---T---_9,20230706,1
20220904_--WT---_10,20230706,1
20220904_M-WTF--_21,20230706,1
20220904_MT-TF--_13,20230706,1
20220904_MTWT---_15,20230706,1
20220904_MTWTF--_16,20230706,1
20220904_MTWTF--_16_-vmh_1,20230706,1
20220904_MTWTF--_27,20230706,1
20230224_MTWTF--_45,20230706,1
20230601_--WT---_56,20230706,1
20230608_---T---_22,20230706,1
20230610_MTWTF--_62,20230706,1
20230615_M-WT---_66,20230706,1
20220522_MTWTF--_1,20230707,1
20220522_MTWTF--_3,20230707,1
20220904_----F--_33,20230707,1
20220904_----F--_8,20230707,1
20220904_M-W-F--_11,20230707,1
20220904_M-WTF--_21,20230707,1
20220904_MT--F--_12,20230707,1
20220904_MT-TF--_13,20230707,1
20220904_MTW-F--_14,20230707,1
20220904_MTWTF--_16,20230707,1
20220904_MTWTF--_16_-vmh_1,20230707,1
20220904_MTWTF--_27,20230707,1
20230224_----F--_44,20230707,1
20230224_MTWTF--_45,20230707,1
20230610_MTWTF--_62,20230707,1
20230702_--W-F--_30,20230707,1
20220522_-----S-_5,20230708,1
20220904_-----S-_17,20230708,1
20220904_-----S-_26,20230708,1
20220904_-----S-_7,20230708,1
20230224_-----S-_43,20230708,1
20230224_-----S-_46,20230708,1
20230610_-----S-_61,20230708,1
20220522_------S_4,20230709,1
20220904_------S_18,20230709,1
20220904_------S_18_-vmh_2,20230709,1
20220904_------S_20,20230709,1
20230224_------S_42,20230709,1
20230702_------S_29,20230709,1
20220522_MTWTF--_1,20230710,1
20220522_MTWTF--_3,20230710,1
20220904_M-W-F--_11,20230710,1
20220904_M-WTF--_21,20230710,1
20220904_MT--F--_12,20230710,1
20220904_MT-TF--_13,20230710,1
20220904_MTW-F--_14,20230710,1
20220904_MTWT---_15,20230710,1
20220904_MTWTF--_16,20230710,1
20220904_MTWTF--_16_-vmh_1,20230710,1
20220904_MTWTF--_27,20230710,1
20230224_MTWTF--_45,20230710,1
20230610_MTWTF--_62,20230710,1
20230707_M-WT---_32,20230710,1
20220522_MTWTF--_1,20230711,1
20220522_MTWTF--_3,20230711,1
20220904_MT--F--_12,20230711,1
20220904_MT-TF--_13,20230711,1
20220904_MTW-F--_14,20230711,1
20220904_MTWT---_15,20230711,1
20220904_MTWTF--_16,20230711,1
20220904_MTWTF--_16_-vmh_1,20230711,1
20220904_MTWTF--_27,20230711,1
20230224_MTWTF--_45,20230711,1
20230610_MTWTF--_62,20230711,1
20220522_MTWTF--_1,20230712,1
20220522_MTWTF--_3,20230712,1
20220904_--WT---_10,20230712,1
20220904_M-W-F--_11,20230712,1
20220904_M-WTF--_21,20230712,1
20220904_MTW-F--_14,20230712,1
20220904_MTWT---_15,20230712,1
20220904_MTWTF--_16,20230712,1
20220904_MTWTF--_16_-vmh_1,20230712,1
20220904_MTWTF--_27,20230712,1
20230224_MTWTF--_45,20230712,1
20230601_--WT---_56,20230712,1
20230610_MTWTF--_62,20230712,1
20230702_--W-F--_30,20230712,1
20230705_--W----_89,20230712,1
20230707_M-WT---_32,20230712,1
20220522_MTWTF--_1,20230713,1
20220522_MTWTF--_3,20230713,1
20220904_---T---_9,20230713,1
20220904_--WT---_10,20230713,1
20220904_M-WTF--_21,20230713,1
20220904_MT-TF--_13,20230713,1
20220904_MTWT---_15,20230713,1
20220904_MTWTF--_16,20230713,1
20220904_MTWTF--_16_-vmh_1,20230713,1
20220904_MTWTF--_27,20230713,1
20230224_MTWTF--_45,20230713,1
20230601_--WT---_56,20230713,1
20230608_---T---_22,20230713,1
20230610_MTWTF--_62,20230713,1
20230707_M-WT---_32,20230713,1
20220522_MTWTF--_1,20230714,1
20220522_MTWTF--_3,20230714,1
20220904_----F--_33,20230714,1
20220904_----F--_8,20230714,1
20220904_M-W-F--_11,20230714,1
20220904_M-WTF--_21,20230714,1
20220904_MT--F--_12,20230714,1
20220904_MT-TF--_13,20230714,1
20220904_MTW-F--_14,20230714,1
20220904_MTWTF--_16,20230714,1
20220904_MTWTF--_16_-vmh_1,20230714,1
20220904_MTWTF--_27,20230714,1
20230224_----F--_44,20230714,1
20230224_MTWTF--_45,20230714,1
20230610_MTWTF--_62,20230714,1
20230702_--W-F--_30,20230714,1
20220522_-----S-_5,20230715,1
20220904_-----S-_17,20230715,1
20220904_-----S-_26,20230715,1
20220904_-----S-_7,20230715,1
20230224_-----S-_43,20230715,1
20230224_-----S-_46,20230715,1
20230610_-----S-_61,20230715,1
20220522_------S_4,20230716,1
20220904_------S_18,20230716,1
20220904_------S_18_-vmh_2,20230716,1
20220904_------S_20,20230716,1
20230224_------S_42,20230716,1
20230702_------S_29,20230716,1
20220522_MTWTF--_1,20230717,1
20220522_MTWTF--_3,20230717,1
20220904_M-W-F--_11,20230717,1
20220904_M-WTF--_21,20230717,1
20220904_MT--F--_12,20230717,1
20220904_MT-TF--_13,20230717,1
20220904_MTW-F--_14,20230717,1
20220904_MTWT---_15,20230717,1
20220904_MTWTF--_16,20230717,1
20220904_MTWTF--_16_-vmh_1,20230717,1
20230224_MTWTF--_45,20230717,1
20230610_MTWTF--_62,20230717,1
20230707_M-WT---_32,20230717,1
20220522_MTWTF--_1,20230718,1
20220522_MTWTF--_3,20230718,1
20220904_MT--F--_12,20230718,1
20220904_MT-TF--_13,20230718,1
20220904_MTW-F--_14,20230718,1
20220904_MTWT---_15,20230718,1
20220904_MTWTF--_16,20230718,1
20220904_MTWTF--_16_-vmh_1,20230718,1
20220904_MTWTF--_27,20230718,1
20230224_MTWTF--_45,20230718,1
20230610_MTWTF--_62,20230718,1
20220522_MTWTF--_1,20230719,1
20220522_MTWTF--_3,20230719,1
20220904_--WT---_10,20230719,1
20220904_M-W-F--_11,20230719,1
20220904_M-WTF--_21,20230719,1
20220904_MTW-F--_14,20230719,1
20220904_MTWT---_15,20230719,1
20220904_MTWTF--_16,20230719,1
20220904_MTWTF--_16_-vmh_1,20230719,1
20220904_MTWTF--_27,20230719,1
20230224_MTWTF--_45,20230719,1
20230601_--WT---_56,20230719,1
20230610_MTWTF--_62,20230719,1
20230702_--W-F--_30,20230719,1
20230705_--W----_89,20230719,1
20230707_M-WT---_32,20230719,1
20220522_MTWTF--_1,20230720,1
20220522_MTWTF--_3,20230720,1
20220904_---T---_9,20230720,1
20220904_--WT---_10,20230720,1
20220904_M-WTF--_21,20230720,1
20220904_MT-TF--_13,20230720,1
20220904_MTWT---_15,20230720,1
20220904_MTWTF--_16,20230720,1
20220904_MTWTF--_16_-vmh_1,20230720,1
20220904_MTWTF--_27,20230720,1
20230224_MTWTF--_45,20230720,1
20230601_--WT---_56,20230720,1
20230608_---T---_22,20230720,1
20230610_MTWTF--_62,20230720,1
20230707_M-WT---_32,20230720,1
20220522_MTWTF--_1,20230721,1
20220522_MTWTF--_3,20230721,1
20220904_----F--_33,20230721,1
20220904_----F--_8,20230721,1
20220904_M-W-F--_11,20230721,1
20220904_M-WTF--_21,20230721,1
20220904_MT--F--_12,20230721,1
20220904_MT-TF--_13,20230721,1
20220904_MTW-F--_14,20230721,1
20220904_MTWTF--_16,20230721,1
20220904_MTWTF--_16_-vmh_1,20230721,1
20220904_MTWTF--_27,20230721,1
20230224_----F--_44,20230721,1
20230224_MTWTF--_45,20230721,1
20230610_MTWTF--_62,20230721,1
20230702_--W-F--_30,20230721,1
20220522_-----S-_5,20230722,1
20220904_-----S-_17,20230722,1
20220904_-----S-_26,20230722,1
20220904_-----S-_7,20230722,1
20230224_-----S-_43,20230722,1
20230224_-----S-_46,20230722,1
20230610_-----S-_61,20230722,1
20220522_------S_4,20230723,1
20220904_------S_18,20230723,1
20220904_------S_18_-vmh_2,20230723,1
20220904_------S_20,20230723,1
20230224_------S_42,20230723,1
20230702_------S_29,20230723,1
20220522_MTWTF--_1,20230724,1
20220522_MTWTF--_3,20230724,1
20220904_M-W-F--_11,20230724,1
20220904_M-WTF--_21,20230724,1
20220904_MT--F--_12,20230724,1
20220904_MT-TF--_13,20230724,1
20220904_MTW-F--_14,20230724,1
20220904_MTWT---_15,20230724,1
20220904_MTWTF--_16,20230724,1
20220904_MTWTF--_16_-vmh_1,20230724,1
20220904_MTWTF--_27,20230724,1
20230224_MTWTF--_45,20230724,1
20230610_MTWTF--_62,20230724,1
20230707_M-WT---_32,20230724,1
20220522_MTWTF--_1,20230725,1
20220522_MTWTF--_3,20230725,1
20220904_MT--F--_12,20230725,1
20220904_MT-TF--_13,20230725,1
20220904_MTW-F--_14,20230725,1
20220904_MTWT---_15,20230725,1
20220904_MTWTF--_16,20230725,1
20220904_MTWTF--_16_-vmh_1,20230725,1
20220904_MTWTF--_27,20230725,1
20230224_MTWTF--_45,20230725,1
20230610_MTWTF--_62,20230725,1
20220522_MTWTF--_1,20230726,1
20220522_MTWTF--_3,20230726,1
20220904_--WT---_10,20230726,1
20220904_M-W-F--_11,20230726,1
20220904_M-WTF--_21,20230726,1
20220904_MTW-F--_14,20230726,1
20220904_MTWT---_15,20230726,1
20220904_MTWTF--_16,20230726,1
20220904_MTWTF--_16_-vmh_1,20230726,1
20220904_MTWTF--_27,20230726,1
20230224_MTWTF--_45,20230726,1
20230601_--WT---_56,20230726,1
20230610_MTWTF--_62,20230726,1
20230702_--W-F--_30,20230726,1
20230705_--W----_89,20230726,1
20230707_M-WT---_32,20230726,1
20220522_MTWTF--_1,20230727,1
20220522_MTWTF--_3,20230727,1
20220904_---T---_9,20230727,1
20220904_--WT---_10,20230727,1
20220904_M-WTF--_21,20230727,1
20220904_MT-TF--_13,20230727,1
20220904_MTWT---_15,20230727,1
20220904_MTWTF--_16,20230727,1
20220904_MTWTF--_16_-vmh_1,20230727,1
20220904_MTWTF--_27,20230727,1
20230224_MTWTF--_45,20230727,1
20230601_--WT---_56,20230727,1
20230608_---T---_22,20230727,1
20230610_MTWTF--_62,20230727,1
20230707_M-WT---_32,20230727,1
20220522_MTWTF--_1,20230728,1
20220522_MTWTF--_3,20230728,1
20220904_----F--_33,20230728,1
20220904_----F--_8,20230728,1
20220904_M-W-F--_11,20230728,1
20220904_M-WTF--_21,20230728,1
20220904_MT--F--_12,20230728,1
20220904_MT-TF--_13,20230728,1
20220904_MTW-F--_14,20230728,1
20220904_MTWTF--_16,20230728,1
20220904_MTWTF--_16_-vmh_1,20230728,1
20220904_MTWTF--_27,20230728,1
20230224_----F--_44,20230728,1
20230224_MTWTF--_45,20230728,1
20230610_MTWTF--_62,20230728,1
20230702_--W-F--_30,20230728,1
20220522_-----S-_5,20230729,1
20220904_-----S-_17,20230729,1
20220904_-----S-_26,20230729,1
20220904_-----S-_7,20230729,1
20230224_-----S-_43,20230729,1
20230224_-----S-_46,20230729,1
20230610_-----S-_61,20230729,1
20220522_------S_4,20230730,1
20220904_------S_18,20230730,1
20220904_------S_18_-vmh_2,20230730,1
20220904_------S_20,20230730,1
20230224_------S_42,20230730,1
20230702_------S_29,20230730,1
20220522_MTWTF--_1,20230731,1
20220522_MTWTF--_3,20230731,1
20220904_M-W-F--_11,20230731,1
20220904_M-WTF--_21,20230731,1
20220904_MT--F--_12,20230731,1
20220904_MT-TF--_13,20230731,1
20220904_MTW-F--_14,20230731,1
20220904_MTWT---_15,20230731,1
20220904_MTWTF--_16,20230731,1
20220904_MTWTF--_16_-vmh_1,20230731,1
20220904_MTWTF--_27,20230731,1
20230224_MTWTF--_45,20230731,1
20230610_MTWTF--_62,20230731,1
20230707_M-WT---_32,20230731,1
20220522_MTWTF--_1,20230801,1
20220522_MTWTF--_3,20230801,1
20220904_MT--F--_12,20230801,1
20220904_MT-TF--_13,20230801,1
20220904_MTW-F--_14,20230801,1
20220904_MTWT---_15,20230801,1
20220904_MTWTF--_16,20230801,1
20220904_MTWTF--_16_-vmh_1,20230801,1
20220904_MTWTF--_27,20230801,1
20230224_MTWTF--_45,20230801,1
20230610_MTWTF--_62,20230801,1
20220522_MTWTF--_1,20230802,1
20220522_MTWTF--_3,20230802,1
20220904_--WT---_10,20230802,1
20220904_M-W-F--_11,20230802,1
20220904_M-WTF--_21,20230802,1
20220904_MTW-F--_14,20230802,1
20220904_MTWT---_15,20230802,1
20220904_MTWTF--_16,20230802,1
20220904_MTWTF--_16_-vmh_1,20230802,1
20220904_MTWTF--_27,20230802,1
20230224_MTWTF--_45,20230802,1
20230601_--WT---_56,20230802,1
20230610_MTWTF--_62,20230802,1
20230702_--W-F--_30,20230802,1
20230705_--W----_89,20230802,1
20230707_M-WT---_32,20230802,1
20220522_MTWTF--_1,20230803,1
20220522_MTWTF--_3,20230803,1
20220904_---T---_9,20230803,1
20220904_--WT---_10,20230803,1
20220904_M-WTF--_21,20230803,1
20220904_MT-TF--_13,20230803,1
20220904_MTWT---_15,20230803,1
20220904_MTWTF--_16,20230803,1
20220904_MTWTF--_16_-vmh_1,20230803,1
20220904_MTWTF--_27,20230803,1
20230224_MTWTF--_45,20230803,1
20230601_--WT---_56,20230803,1
20230608_---T---_22,20230803,1
20230610_MTWTF--_62,20230803,1
20230707_M-WT---_32,20230803,1
20230803_---T---_0,20230803,1
20220522_MTWTF--_1,20230804,1
20220522_MTWTF--_3,20230804,1
20220904_----F--_33,20230804,1
20220904_----F--_8,20230804,1
20220904_M-W-F--_11,20230804,1
20220904_M-WTF--_21,20230804,1
20220904_MT--F--_12,20230804,1
20220904_MT-TF--_13,20230804,1
20220904_MTW-F--_14,20230804,1
20220904_MTWTF--_16,20230804,1
20220904_MTWTF--_27,20230804,1
20230224_----F--_44,20230804,1
20230224_MTWTF--_45,20230804,1
20230610_MTWTF--_62,20230804,1
20230702_--W-F--_30,20230804,1
20230804_----F--_0,20230804,1
20220522_-----S-_5,20230805,1
20220904_-----S-_17,20230805,1
20220904_-----S-_26,20230805,1
20220904_-----S-_7,20230805,1
20230224_-----S-_43,20230805,1
20230224_-----S-_46,20230805,1
20230610_-----S-_61,20230805,1
20230805_-----S-_0,20230805,1
20220522_------S_4,20230806,1
20220904_------S_18,20230806,1
20220904_------S_20,20230806,1
20230224_------S_42,20230806,1
20230702_------S_29,20230806,1
20230806_------S_0,20230806,1
20220522_------S_4,20230807,1
20220904_------S_18,20230807,1
20220904_------S_18_-vmh_2,20230807,1
20220904_M-WTF--_21,20230807,1
20220904_MTWTF--_16_-vmh_1,20230807,1
20230224_------S_42,20230807,1
20230702_------S_29,20230807,1
20230807_------S_0,20230807,1
20220522_MTWTF--_1,20230808,1
20220522_MTWTF--_3,20230808,1
20220904_MT--F--_12,20230808,1
20220904_MT-TF--_13,20230808,1
20220904_MTW-F--_14,20230808,1
20220904_MTWT---_15,20230808,1
20220904_MTWTF--_16,20230808,1
20220904_MTWTF--_16_-vmh_1,20230808,1
20220904_MTWTF--_27,20230808,1
20230224_MTWTF--_45,20230808,1
20230610_MTWTF--_62,20230808,1
20220522_MTWTF--_1,20230809,1
20220522_MTWTF--_3,20230809,1
20220904_--WT---_10,20230809,1
20220904_M-W-F--_11,20230809,1
20220904_M-WTF--_21,20230809,1
20220904_MTW-F--_14,20230809,1
20220904_MTWT---_15,20230809,1
20220904_MTWTF--_16,20230809,1
20220904_MTWTF--_16_-vmh_1,20230809,1
20220904_MTWTF--_27,20230809,1
20230224_MTWTF--_45,20230809,1
20230601_--WT---_56,20230809,1
20230610_MTWTF--_62,20230809,1
20230615_M-WT---_66,20230809,1
20230702_--W-F--_30,20230809,1
20230705_--W----_89,20230809,1
20220522_MTWTF--_1,20230810,1
20220522_MTWTF--_3,20230810,1
20220904_---T---_9,20230810,1
20220904_--WT---_10,20230810,1
20220904_M-WTF--_21,20230810,1
20220904_MT-TF--_13,20230810,1
20220904_MTWT---_15,20230810,1
20220904_MTWTF--_16,20230810,1
20220904_MTWTF--_16_-vmh_1,20230810,1
20220904_MTWTF--_27,20230810,1
20230224_MTWTF--_45,20230810,1
20230601_--WT---_56,20230810,1
20230608_---T---_22,20230810,1
20230610_MTWTF--_62,20230810,1
20230615_M-WT---_66,20230810,1
20220522_MTWTF--_1,20230811,1
20220522_MTWTF--_3,20230811,1
20220904_----F--_33,20230811,1
20220904_----F--_8,20230811,1
20220904_M-W-F--_11,20230811,1
20220904_M-WTF--_21,20230811,1
20220904_MT--F--_12,20230811,1
20220904_MT-TF--_13,20230811,1
20220904_MTW-F--_14,20230811,1
20220904_MTWTF--_16,20230811,1
20220904_MTWTF--_16_-vmh_1,20230811,1
20220904_MTWTF--_27,20230811,1
20230224_----F--_44,20230811,1
20230224_MTWTF--_45,20230811,1
20230610_MTWTF--_62,20230811,1
20230702_--W-F--_30,20230811,1
20220522_-----S-_5,20230812,1
20220904_-----S-_17,20230812,1
20220904_-----S-_26,20230812,1
20220904_-----S-_7,20230812,1
20230224_-----S-_43,20230812,1
20230224_-----S-_46,20230812,1
20230610_-----S-_61,20230812,1
20220522_------S_4,20230813,1
20220904_------S_18,20230813,1
20220904_------S_18_-vmh_2,20230813,1
20220904_------S_20,20230813,1
20230224_------S_42,20230813,1
20230702_------S_29,20230813,1
20220522_MTWTF--_1,20230814,1
20220522_MTWTF--_3,20230814,1
20220904_M-W-F--_11,20230814,1
20220904_M-WTF--_21,20230814,1
20220904_MT--F--_12,20230814,1
20220904_MT-TF--_13,20230814,1
20220904_MTW-F--_14,20230814,1
20220904_MTWT---_15,20230814,1
20220904_MTWTF--_16,20230814,1
20220904_MTWTF--_16_-vmh_1,20230814,1
20220904_MTWTF--_19,20230814,1
20220904_MTWTF--_27,20230814,1
20230224_MTWTF--_45,20230814,1
20230610_MTWTF--_62,20230814,1
20230615_M-WT---_66,20230814,1
20220522_MTWTF--_1,20230815,1
20220522_MTWTF--_3,20230815,1
20220904_MT--F--_12,20230815,1
20220904_MT-TF--_13,20230815,1
20220904_MTW-F--_14,20230815,1
20220904_MTWT---_15,20230815,1
20220904_MTWTF--_16,20230815,1
20220904_MTWTF--_16_-vmh_1,20230815,1
20220904_MTWTF--_19,20230815,1
20220904_MTWTF--_27,20230815,1
20230224_MTWTF--_45,20230815,1
20230610_MTWTF--_62,20230815,1
20220522_MTWTF--_1,20230816,1
20220522_MTWTF--_3,20230816,1
20220904_--WT---_10,20230816,1
20220904_M-W-F--_11,20230816,1
20220904_M-WTF--_21,20230816,1
20220904_MTW-F--_14,20230816,1
20220904_MTWT---_15,20230816,1
20220904_MTWTF--_16,20230816,1
20220904_MTWTF--_16_-vmh_1,20230816,1
20220904_MTWTF--_19,20230816,1
20220904_MTWTF--_27,20230816,1
20230224_MTWTF--_45,20230816,1
20230601_--WT---_56,20230816,1
20230610_MTWTF--_62,20230816,1
20230615_M-WT---_66,20230816,1
20230702_--W-F--_30,20230816,1
20230705_--W----_89,20230816,1
20220522_MTWTF--_1,20230817,1
20220522_MTWTF--_3,20230817,1
20220904_---T---_9,20230817,1
20220904_--WT---_10,20230817,1
20220904_M-WTF--_21,20230817,1
20220904_MT-TF--_13,20230817,1
20220904_MTWT---_15,20230817,1
20220904_MTWTF--_16,20230817,1
20220904_MTWTF--_16_-vmh_1,20230817,1
20220904_MTWTF--_19,20230817,1
20220904_MTWTF--_27,20230817,1
20230224_MTWTF--_45,20230817,1
20230601_--WT---_56,20230817,1
20230608_---T---_22,20230817,1
20230610_MTWTF--_62,20230817,1
20230615_M-WT---_66,20230817,1
20220522_MTWTF--_1,20230818,1
20220522_MTWTF--_3,20230818,1
20220904_----F--_33,20230818,1
20220904_----F--_8,20230818,1
20220904_M-W-F--_11,20230818,1
20220904_M-WTF--_21,20230818,1
20220904_MT--F--_12,20230818,1
20220904_MT-TF--_13,20230818,1
20220904_MTW-F--_14,20230818,1
20220904_MTWTF--_16,20230818,1
20220904_MTWTF--_16_-vmh_1,20230818,1
20220904_MTWTF--_19,20230818,1
20220904_MTWTF--_27,20230818,1
20230224_----F--_44,20230818,1
20230224_MTWTF--_45,20230818,1
20230610_MTWTF--_62,20230818,1
20230702_--W-F--_30,20230818,1
20220522_-----S-_5,20230819,1
20220904_-----S-_17,20230819,1
20220904_-----S-_26,20230819,1
20220904_-----S-_7,20230819,1
20230610_-----S-_61,20230819,1
20230819_-----S-_58,20230819,1
20220522_------S_4,20230820,1
20220904_------S_18,20230820,1
20220904_------S_18_-vmh_2,20230820,1
20220904_------S_20,20230820,1
20230702_------S_29,20230820,1
20230820_------S_49,20230820,1
20220522_MTWTF--_1,20230821,1
20220522_MTWTF--_3,20230821,1
20220904_M-W-F--_11,20230821,1
20220904_M-WTF--_21,20230821,1
20220904_MT--F--_12,20230821,1
20220904_MT-TF--_13,20230821,1
20220904_MTW-F--_14,20230821,1
20220904_MTWT---_15,20230821,1
20220904_MTWTF--_16,20230821,1
20220904_MTWTF--_16_-vmh_1,20230821,1
20220904_MTWTF--_19,20230821,1
20220904_MTWTF--_27,20230821,1
20230615_M-WT---_66,20230821,1
20230820_MTWTF--_52,20230821,1
20230821_MTWTF--_63,20230821,1
20230821_MTWTF--_64,20230821,1
20220522_MTWTF--_1,20230822,1
20220522_MTWTF--_3,20230822,1
20220904_-T-----_23,20230822,1
20220904_MT--F--_12,20230822,1
20220904_MT-TF--_13,20230822,1
20220904_MTW-F--_14,20230822,1
20220904_MTWT---_15,20230822,1
20220904_MTWTF--_16,20230822,1
20220904_MTWTF--_16_-vmh_1,20230822,1
20220904_MTWTF--_19,20230822,1
20220904_MTWTF--_27,20230822,1
20230820_MTWTF--_52,20230822,1
20230821_MTWTF--_63,20230822,1
20230821_MTWTF--_64,20230822,1
20220522_MTWTF--_1,20230823,1
20220522_MTWTF--_3,20230823,1
20220904_--WT---_10,20230823,1
20220904_M-W-F--_11,20230823,1
20220904_M-WTF--_21,20230823,1
20220904_MTW-F--_14,20230823,1
20220904_MTWT---_15,20230823,1
20220904_MTWTF--_16,20230823,1
20220904_MTWTF--_16_-vmh_1,20230823,1
20220904_MTWTF--_19,20230823,1
20220904_MTWTF--_27,20230823,1
20220905_MTWTF--_28,20230823,1
20220905_MTWTF--_41,20230823,1
20230601_--WT---_56,20230823,1
20230615_M-WT---_66,20230823,1
20230702_--W-F--_30,20230823,1
20230705_--W----_89,20230823,1
20230820_MTWTF--_52,20230823,1
20230821_MTWTF--_63,20230823,1
