route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
AF.91,20220904_-----S-_26,516175,,,0,6193_91-A,91_1006320_1_30
AF.91,20220904_-----S-_26,516183,,,1,6193_91-A,91_1006320_2_72
AF.91,20220904_MTWTF--_27,516176,,,0,6189_91-A,91_1006320_1_30
AF.91,20220904_MTWTF--_27,516179,,,0,6189_91-A,91_1006320_1_30
AF.91,20220904_MTWTF--_27,516180,,,1,6189_91-A,91_1006320_2_67
AF.91,20220904_MTWTF--_27,516181,,,1,6189_91-A,91_1006320_2_72
AF.92,20220904_MTWTF--_16,516185,,,0,,92_1006320_1_1
AF.92,20220904_MTWTF--_16,516186,,,0,,92_1006320_1_1
AF.92,20220904_MTWTF--_16,516188,,,0,6176_92-A,92_1006320_1_1
AF.92,20220904_MTWTF--_16,516189,,,1,,92_1006320_2_51
AF.92,20220904_MTWTF--_16,516190,,,1,6176_92-A,92_1006320_2_51
AF.92,20220904_MTWTF--_16,516191,,,1,6176_92-A,92_1006320_2_51
AF.93,20220904_-----S-_26,516195,,,0,6194_93-A,93_1006320_1_1
AF.93,20220904_-----S-_26,516200,,,1,6194_93-A,93_1006320_2_4
AF.93,20220904_-T-----_23,516197,,,0,6188_93-A,93_1006320_1_1
AF.93,20220904_-T-----_23,516204,,,1,6188_93-A,93_1006320_2_4
AF.93,20220904_MTWTF--_27,516192,,,0,6188_93-A,93_1006320_1_1
AF.93,20220904_MTWTF--_27,516193,,,0,6188_93-A,93_1006320_1_1
AF.93,20220904_MTWTF--_27,516199,,,1,6188_93-A,93_1006320_2_4
AF.93,20220904_MTWTF--_27,516202,,,1,6188_93-A,93_1006320_2_4
AF.93,20230608_---T---_22,516196,,,0,6188_93-A,93_1006320_1_1
AF.93,20230608_---T---_22,516205,,,1,6188_93-A,93_1006320_2_4
AF.94,20220904_------S_20,516207,,,0,6195_94-A,94_1006320_1_10
AF.94,20220904_------S_20,516209,,,1,6195_94-A,94_1006320_2_59
AF.94,20220904_M-WTF--_21,516206,,,0,6190_94-A,94_1006320_1_10
AF.94,20220904_M-WTF--_21,516208,,,1,6190_94-A,94_1006320_2_59
AF.94,20220926_------S_37,516655,,,0,,94_1006320_1_12
AF.94,20220926_------S_37,516656,,,1,,94_1006320_2_63
AF.94,20220926_---T---_38,516653,,,0,,94_1006320_1_12
AF.94,20220926_---T---_38,516657,,,1,,94_1006320_2_63
AF.94,20220926_M-W-F--_39,516652,,,0,,94_1006320_1_12
AF.94,20220926_M-W-F--_39,516654,,,1,,94_1006320_2_62
AF.95,20220904_MTWTF--_16,516210,,,0,6191_95-A,95_1006320_1_1
AF.95,20220904_MTWTF--_16,516211,,,1,6191_95-A,95_1006320_2_51
